"","ai","aj","goodness"
"162",0.6,0.01,100.676336294163
"163",0.61,0.01,100.904844815732
"164",0.62,0.01,101.133353337302
"165",0.63,0.01,101.361861858871
"166",0.64,0.01,101.590370380441
"167",0.65,0.01,101.81887890201
"168",0.66,0.01,102.047387423579
"169",0.67,0.01,102.275895945149
"170",0.68,0.01,102.504404466718
"171",0.69,0.01,102.732912988287
"172",0.7,0.01,102.961421509857
"173",0.71,0.01,103.189930031426
"174",0.72,0.01,103.418438552996
"175",0.73,0.01,103.646947074565
"176",0.74,0.01,103.875455596134
"177",0.75,0.01,104.103964117704
"178",0.76,0.01,104.332472639273
"179",0.77,0.01,104.560981160843
"180",0.78,0.01,104.789489682412
"181",0.79,0.01,105.017998203981
"182",0.8,0.01,105.246506725551
"183",0.81,0.01,105.47501524712
"184",0.82,0.01,105.703523768689
"185",0.83,0.01,105.932032290259
"186",0.84,0.01,106.160540811828
"187",0.85,0.01,106.389049333398
"188",0.86,0.01,106.617557854967
"189",0.87,0.01,106.846066376536
"190",0.88,0.01,107.074574898106
"191",0.89,0.01,107.303083419675
"192",0.9,0.01,107.531591941244
"193",0.91,0.01,107.760100462814
"194",0.92,0.01,107.988608984383
"195",0.93,0.01,108.217117505953
"196",0.94,0.01,108.445626027522
"197",0.95,0.01,108.674134549091
"198",0.96,0.01,108.902643070661
"199",0.97,0.01,109.13115159223
"200",0.98,0.01,109.3596601138
"201",0.99,0.01,109.588168635369
"202",1,0.01,110.813530055909
"203",0,0.02,86.965825
"204",0.01,0.02,87.1946019715694
"205",0.02,0.02,87.4233789431388
"206",0.03,0.02,87.6521559147082
"207",0.04,0.02,87.8809328862775
"208",0.05,0.02,88.1097098578469
"209",0.06,0.02,88.3384868294163
"210",0.07,0.02,88.5672638009857
"211",0.08,0.02,88.7960407725551
"212",0.09,0.02,89.0248177441245
"213",0.1,0.02,89.2535947156938
"214",0.11,0.02,89.4823716872632
"215",0.12,0.02,89.7111486588326
"216",0.13,0.02,89.939925630402
"217",0.14,0.02,90.1687026019714
"218",0.15,0.02,90.3974795735408
"219",0.16,0.02,90.6262565451101
"220",0.17,0.02,90.8550335166795
"221",0.18,0.02,91.0838104882489
"222",0.19,0.02,91.3125874598183
"223",0.2,0.02,91.5413644313877
"224",0.21,0.02,91.7701414029571
"225",0.22,0.02,91.9989183745264
"226",0.23,0.02,92.2276953460958
"227",0.24,0.02,92.4564723176652
"228",0.25,0.02,92.6852492892346
"229",0.26,0.02,92.914026260804
"230",0.27,0.02,93.1428032323734
"231",0.28,0.02,93.3715802039427
"232",0.29,0.02,93.6003571755121
"233",0.3,0.02,93.8291341470815
"234",0.31,0.02,94.0579111186509
"235",0.32,0.02,94.2866880902203
"236",0.33,0.02,94.5154650617897
"237",0.34,0.02,94.744242033359
"238",0.35,0.02,94.9730190049284
"239",0.36,0.02,95.2017959764978
"240",0.37,0.02,95.4305729480672
"241",0.38,0.02,95.6593499196366
"242",0.39,0.02,95.888126891206
"243",0.4,0.02,96.1169038627753
"244",0.41,0.02,96.3456808343447
"245",0.42,0.02,96.5744578059141
"246",0.43,0.02,96.8032347774835
"247",0.44,0.02,97.0320117490529
"248",0.45,0.02,97.2607887206223
"249",0.46,0.02,97.4895656921916
"250",0.47,0.02,97.718342663761
"251",0.48,0.02,97.9471196353304
"252",0.49,0.02,98.1758966068998
"253",0.5,0.02,98.4046735784692
