"","ai","aj","goodness"
"425",0.35,0.25,0.436975
"426",0.375,0.25,0.4681875
"427",0.4,0.25,0.4994
"428",0.425,0.25,0.5306125
"429",0.45,0.25,0.561825
"430",0.475,0.25,0.5930375
"431",0.5,0.25,0.62425
"432",0.525,0.25,0.6554625
"433",0.55,0.25,0.686675
"434",0.575,0.25,0.7178875
"435",0.6,0.25,0.7491
"436",0.625,0.25,0.7803125
"437",0.65,0.25,0.811525
"438",0.675,0.25,0.8427375
"439",0.7,0.25,0.87395
"440",0.725,0.25,0.9051625
"441",0.75,0.25,0.936375
"442",0.775,0.25,0.9675875
"443",0.8,0.25,0.9988
"444",0.825,0.25,1.0300125
"445",0.85,0.25,1.061225
"446",0.875,0.25,1.0924375
"447",0.9,0.25,1.12365
"448",0.925,0.25,1.1548625
"449",0.95,0.25,1.186075
"450",0.975,0.25,1.2172875
"451",1,0.25,1.2485
"452",0,0.275,0
"453",0.025,0.275,0.03183375
"454",0.05,0.275,0.0636675
"455",0.075,0.275,0.09550125
"456",0.1,0.275,0.127335
"457",0.125,0.275,0.15916875
"458",0.15,0.275,0.1910025
"459",0.175,0.275,0.22283625
"460",0.2,0.275,0.25467
"461",0.225,0.275,0.28650375
"462",0.25,0.275,0.3183375
"463",0.275,0.275,0.35017125
"464",0.3,0.275,0.382005
"465",0.325,0.275,0.41383875
"466",0.35,0.275,0.4456725
"467",0.375,0.275,0.47750625
"468",0.4,0.275,0.50934
"469",0.425,0.275,0.54117375
"470",0.45,0.275,0.5730075
"471",0.475,0.275,0.60484125
"472",0.5,0.275,0.636675
"473",0.525,0.275,0.66850875
"474",0.55,0.275,0.7003425
"475",0.575,0.275,0.73217625
"476",0.6,0.275,0.76401
"477",0.625,0.275,0.79584375
"478",0.65,0.275,0.8276775
"479",0.675,0.275,0.85951125
"480",0.7,0.275,0.891345
"481",0.725,0.275,0.92317875
"482",0.75,0.275,0.9550125
"483",0.775,0.275,0.98684625
"484",0.8,0.275,1.01868
"485",0.825,0.275,1.05051375
"486",0.85,0.275,1.0823475
"487",0.875,0.275,1.11418125
"488",0.9,0.275,1.146015
"489",0.925,0.275,1.17784875
"490",0.95,0.275,1.2096825
"491",0.975,0.275,1.24151625
"492",1,0.275,1.27335
"493",0,0.3,0
"494",0.025,0.3,0.032455
"495",0.05,0.3,0.06491
"496",0.075,0.3,0.097365
"497",0.1,0.3,0.12982
"498",0.125,0.3,0.162275
"499",0.15,0.3,0.19473
"500",0.175,0.3,0.227185
"501",0.2,0.3,0.25964
"502",0.225,0.3,0.292095
"503",0.25,0.3,0.32455
"504",0.275,0.3,0.357005
"505",0.3,0.3,0.38946
